Transaction,Type,Input Currency,Input Amount,Output Currency,Output Amount,USD Equivalent,Fee,Fee Currency,Details,Date / Time (UTC)
NXT7AzAY47jxCMvPVdeIR9YZE,Interest,NEXO,0.70445893,NEXO,0.70445893,$0.62,-,-,"approved / NEXO Interest Earned",2026-01-01 06:00:00
NXT6XQylA3ITvLVpmPkrQwmYa,Interest,NEXO,4.40039736,NEXO,4.40039736,$3.89,-,-,"approved / 2.114082 XRP",2026-01-01 06:00:00
NXT6SFfog6Dw9VWtvsMVTEAX4,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2026-01-01 00:00:00
NXT3WKIeVnUSNmla6qdh2x5Hr,Interest,NEXO,4.45734409,NEXO,4.45734409,$3.97,-,-,"approved / 2.114082 XRP",2025-12-31 06:00:00
NXT1yt6nrsHBtXCZNKiMT2D6k,Interest,NEXO,0.70404093,NEXO,0.70404093,$0.63,-,-,"approved / NEXO Interest Earned",2025-12-31 06:00:00
NXT6SHuAmkhb9hAtYUh76fjxF,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2025-12-31 00:00:00
NXT2Cp5ISV6bonjXWjAZgdgCo,Interest,NEXO,0.70363339,NEXO,0.70363339,$0.64,-,-,"approved / NEXO Interest Earned",2025-12-30 06:00:00
NXTHEbP4I4Xsld7utTIvelvO,Interest,NEXO,4.32857842,NEXO,4.32857842,$3.91,-,-,"approved / 2.114082 XRP",2025-12-30 06:00:00
NXT4Hlkn47VYOHkdLVvA5oYSH,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2025-12-30 00:00:00
NXT7B7pFfXZWaZ9LnzzLLCLqa,Interest,NEXO,0.70322476,NEXO,0.70322476,$0.64,-,-,"approved / NEXO Interest Earned",2025-12-29 06:00:00
NXT4HOW3optehQKTBwgUjXyw6,Interest,NEXO,4.34250342,NEXO,4.34250342,$3.94,-,-,"approved / 2.114082 XRP",2025-12-29 06:00:00
NXT1PLS1iwwiOodSv9WEnYKfB,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2025-12-29 00:00:00
NXT7hYllZYOpGx2HELFi33yR0,Interest,NEXO,0.70281784,NEXO,0.70281784,$0.64,-,-,"approved / NEXO Interest Earned",2025-12-28 06:00:00
NXT3TomsQHVHU4PqkkVoW17yD,Interest,NEXO,4.32169267,NEXO,4.32169267,$3.96,-,-,"approved / 2.114082 XRP",2025-12-28 06:00:00
NXT2fdb2Ixy2aENKxIPkQK5XN,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2025-12-28 00:00:00
NXT38S9SlrkLsY4F7fOOJoKPk,Interest,NEXO,0.70241602,NEXO,0.70241602,$0.64,-,-,"approved / NEXO Interest Earned",2025-12-27 06:00:00
NXT2YluGkSCVllASkbMNgbjbq,Interest,NEXO,4.25919286,NEXO,4.25919286,$3.89,-,-,"approved / 2.114082 XRP",2025-12-27 06:00:00
NXTMMnF9l2lLE6qJyeaJ9sA5,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2025-12-27 00:00:00
NXT2CXHaG49JzumDtGJRxxpvq,Interest,NEXO,4.28103791,NEXO,4.28103791,$3.87,-,-,"approved / 2.114082 XRP",2025-12-26 06:00:00
NXTMbTlwfS7Lde7pMY8Iuac4,Interest,NEXO,0.70201246,NEXO,0.70201246,$0.63,-,-,"approved / NEXO Interest Earned",2025-12-26 06:00:00
